idx;Artist;Category;Style;Subject;Medium;Size;Orientation;price
P0000000;Khaled Hafez;Drawing;Street Art;transportaion and maps;Metal;X-Large;Vertical;low
P0000001;Adham Wanly;Photography;Folk Art;still life;Pastal;Large;Horizontal;low
P0000002;Fathi Hassan;Drawing;Pop Art;Flowers and plants;Charcoal;Small;Horizontal;medium
P0000003;Tarek El Komi;Photography;Documentary;still life;Oil;Small;Vertical;very low
P0000004;Adam Henein;Painting;Documentary;transportaion and maps;Watercolur;X-Large;Vertical;medium
P0000005;Alaa Awad;Photography;Conceptual;people and portraits;Mixed media;Small;Horizontal;high
P0000006;Hossam Dirar;Painting;Pop Art;people and portraits;Acrylic;X-Large;Horizontal;high
P0000007;Tarek El Komi;Drawing;Pop Art;transportaion and maps;Woodcut;X-Large;Horizontal;low
P0000008;Hazem Taha Hussein;Print;Graffiti;still life;Ceramic;Medium;Horizontal;high
P0000009;Fathi Hassan;Drawing;Wall;Architecture and cityscapes;Gouache;X-Large;Horizontal;very high
P0000010;Ghada Amer;Collage;Pop Art;Flowers and plants;Chalk;Medium;Horizontal;very high
P0000011;Hamid Nada;Collage;Surrealism;people and portraits;Wood;Large;Squared;medium
P0000012;El Teneen;Painting;Wall;Architecture and cityscapes;Mono;Large;Vertical;high
P0000013;Tarek El Komi;Collage;Figurative;transportaion and maps;Gouache;X-Large;Vertical;medium
P0000014;Abdel Hadi Al Gazzar;Sculpture;Street Art;Animals and Birds;Ink;Small;Vertical;medium
P0000015;Mahmoud Sa'id;Print;Pop Art;Flowers and plants;Charcoal;Large;Horizontal;low
P0000016;Alaa Awad;Painting;Graffiti;Flowers and plants;Pincil;Small;Squared;low
P0000017;Ganzeer;Collage;Street Art;Animals and Birds;Charcoal;X-Large;Horizontal;low
P0000018;Ghada Amer;Sculpture;Wall;Abstract and non-figurative;Gouache;X-Large;Horizontal;high
P0000019;Adham Wanly;Print;Wall;Landscapes,sea and sky;Watercolur;Small;Horizontal;medium
P0000020;Adham Wanly;Collage;Folk Art;transportaion and maps;Lino;X-Large;Vertical;low
P0000021;Adam Henein;Collage;Abstract;still life;Mixed media;Large;Squared;high
P0000022;Khaled Hafez;Drawing;Modern;still life;Wood;Small;Vertical;low
P0000023;Hamid Nada;Drawing;Street Art;Abstract and non-figurative;Ceramic;Small;Squared;medium
P0000024;Hossam Dirar;Print;Abstract;Architecture and cityscapes;Pincil;Medium;Squared;medium
P0000025;George Bahgoury;Painting;Figurative;Architecture and cityscapes;Pincil;X-Large;Vertical;very high
P0000026;Fathi Hassan;Photography;Art Deco;Animals and Birds;Acrylic;Medium;Squared;medium
P0000027;Adam Henein;Print;Folk Art;Animals and Birds;Mono;Large;Horizontal;very high
P0000028;Hamid Nada;Print;Street Art;Architecture and cityscapes;Watercolur;X-Large;Vertical;low
P0000029;Abdel Hadi Al Gazzar;Print;Conceptual;Animals and Birds;Ceramic;X-Large;Squared;high
P0000030;Ganzeer;Sculpture;Surrealism;Flowers and plants;Metal;Large;Squared;medium
P0000031;Hamid Nada;Photography;Street Art;Architecture and cityscapes;Lino;Medium;Horizontal;very high
P0000032;Ganzeer;Painting;Folk Art;Flowers and plants;Wood;Small;Vertical;high
P0000033;Hazem Taha Hussein;Sculpture;Graffiti;Animals and Birds;Wood;X-Large;Vertical;medium
P0000034;George Bahgoury;Painting;Surrealism;Abstract and non-figurative;Pincil;Small;Vertical;high
P0000035;Hamid Nada;Sculpture;Graffiti;Animals and Birds;Watercolur;Large;Vertical;high
P0000036;Hossam Dirar;Drawing;Conceptual;still life;Mono;Small;Horizontal;medium
P0000037;El Teneen;Print;Art Deco;Abstract and non-figurative;Wood;X-Large;Vertical;very low
P0000038;Fathi Hassan;Collage;Portrait;Flowers and plants;Lino;Medium;Horizontal;very high
P0000039;Hussain Bikar;Drawing;Graffiti;still life;Acrylic;Small;Horizontal;very low
P0000040;Mohamed El Fayoumi;Print;Fine Art;Flowers and plants;Pincil;X-Large;Horizontal;very low
P0000041;Adam Henein;Sculpture;Surrealism;Landscapes,sea and sky;Chalk;X-Large;Horizontal;high
P0000042;Ganzeer;Collage;Graffiti;Architecture and cityscapes;Oil;Medium;Squared;very low
P0000043;Adam Henein;Print;Graffiti;Landscapes,sea and sky;Wood;Small;Horizontal;low
P0000044;Adham Wanly;Print;Fine Art;Animals and Birds;Bronze;Medium;Horizontal;very high
P0000045;Fathi Hassan;Print;Fine Art;Flowers and plants;Acrylic;Large;Vertical;high
P0000046;Abdel Hadi Al Gazzar;Photography;Modern;Flowers and plants;Lino;Small;Squared;very low
P0000047;Alaa Awad;Sculpture;Pop Art;Animals and Birds;Ceramic;X-Large;Squared;very low
P0000048;Hazem Taha Hussein;Drawing;Wall;still life;Pastal;Medium;Horizontal;very high
P0000049;Hussain Bikar;Collage;Pop Art;still life;Acrylic;Small;Squared;very low
P0000050;Emad Ibrahim;Print;Figurative;Abstract and non-figurative;Ceramic;X-Large;Horizontal;low
P0000051;Abdel Hadi Al Gazzar;Collage;Abstract;Animals and Birds;Ink;X-Large;Vertical;high
P0000052;Fathi Hassan;Print;Fine Art;Architecture and cityscapes;Gouache;X-Large;Squared;low
P0000053;Khaled Hafez;Drawing;Folk Art;Landscapes,sea and sky;Ink;Medium;Squared;very high
P0000054;Tarek El Komi;Drawing;Figurative;Animals and Birds;Pastal;Medium;Vertical;very high
P0000055;George Bahgoury;Collage;Street Art;Architecture and cityscapes;Metal;Large;Horizontal;high
P0000056;Hamid Nada;Photography;Portrait;Landscapes,sea and sky;Ink;X-Large;Squared;very high
P0000057;Ragheb Ayad;Collage;Fine Art;Architecture and cityscapes;Mixed media;Large;Vertical;high
P0000058;Fathi Hassan;Collage;Folk Art;people and portraits;Metal;Medium;Squared;low
P0000059;Adham Wanly;Painting;Folk Art;still life;Acrylic;X-Large;Vertical;very high
P0000060;Tarek El Komi;Painting;Graffiti;Flowers and plants;Chalk;Medium;Squared;high
P0000061;Alaa Awad;Drawing;Wall;still life;Mono;Medium;Vertical;high
P0000062;Ghada Amer;Painting;Conceptual;Landscapes,sea and sky;Metal;Large;Horizontal;medium
P0000063;Adam Henein;Drawing;Street Art;Landscapes,sea and sky;Watercolur;Medium;Horizontal;medium
P0000064;George Bahgoury;Collage;Documentary;Animals and Birds;Mixed media;Medium;Horizontal;very high
P0000065;Mahmoud Sa'id;Painting;Art Deco;Abstract and non-figurative;Lino;Medium;Horizontal;high
P0000066;Adham Wanly;Drawing;Portrait;transportaion and maps;Charcoal;Medium;Squared;very high
P0000067;El Zeft;Painting;Pop Art;Landscapes,sea and sky;Ink;Medium;Vertical;high
P0000068;El Zeft;Collage;Surrealism;people and portraits;Charcoal;Small;Squared;very high
P0000069;George Bahgoury;Photography;Documentary;Abstract and non-figurative;Pastal;X-Large;Squared;very high
P0000070;Hussain Bikar;Print;Surrealism;still life;Acrylic;Large;Horizontal;very low
P0000071;Alaa Awad;Painting;Graffiti;Architecture and cityscapes;Ink;Large;Vertical;very high
